"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"S000005600","YOR074C","S. cerevisiae","CDC21","Cell Division Cycle"
"S000005601","YOR075W","S. cerevisiae","UFE1","Unknown Function Essential"
"S000005602","YOR076C","S. cerevisiae","SKI7","SuperKIller"
"S000005603","YOR077W","S. cerevisiae","RTS2",""
"S000005621","YOR095C","S. cerevisiae","RKI1","Ribose-5-phosphate Ketol-Isomerase"
"S000005624","YOR098C","S. cerevisiae","NUP1","NUclear Pore"
"S000005628","YOR102W","S. cerevisiae","",""
"S000005629","YOR103C","S. cerevisiae","OST2","OligoSaccharylTransferase"
"S000005632","YOR106W","S. cerevisiae","VAM3","VAcuolar Morphogenesis"
"S000005636","YOR110W","S. cerevisiae","TFC7",""
"S000005642","YOR116C","S. cerevisiae","RPO31","RNA POlymerase"
"S000005643","YOR117W","S. cerevisiae","RPT5","Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
"S000005645","YOR119C","S. cerevisiae","RIO1","RIght Open reading frame"
"S000005648","YOR122C","S. cerevisiae","PFY1","ProFilin of Yeast"
"S000005669","YOR143C","S. cerevisiae","THI80","THIamine metabolism"
"S000005672","YOR146W","S. cerevisiae","",""
"S000005674","YOR148C","S. cerevisiae","SPP2","Suppressor of PrP"
"S000005675","YOR149C","S. cerevisiae","SMP3","Stable Maintenance of pSRI"
"S000005677","YOR151C","S. cerevisiae","RPB2","RNA Polymerase B"
"S000005683","YOR157C","S. cerevisiae","PUP1","PUtative Proteasome subunit"
"S000005685","YOR159C","S. cerevisiae","SME1","Sm protein E"
"S000005686","YOR160W","S. cerevisiae","MTR10","Mrna TRansport defective"
"S000005692","YOR166C","S. cerevisiae","SWT1","Synthetically lethal With Trex"
"S000005693","YOR167C","S. cerevisiae","RPS28A","Ribosomal Protein of the Small subunit"
"S000005694","YOR168W","S. cerevisiae","GLN4","GLutamiNe metabolism"
"S000005695","YOR169C","S. cerevisiae","",""
"S000005700","YOR174W","S. cerevisiae","MED4","MEDiator complex"
"S000005702","YOR176W","S. cerevisiae","HEM15","HEMe biosynthesis"
"S000005707","YOR181W","S. cerevisiae","LAS17",""
"S000005708","YOR182C","S. cerevisiae","RPS30B","Ribosomal Protein of the Small subunit"
"S000005720","YOR194C","S. cerevisiae","TOA1",""
"S000005729","YOR203W","S. cerevisiae","",""
"S000005730","YOR204W","S. cerevisiae","DED1","Defines Essential Domain"
"S000005732","YOR206W","S. cerevisiae","NOC2","NucleOlar Complex associated"
"S000005733","YOR207C","S. cerevisiae","RET1","Reduced Efficiency of Termination"
"S000005736","YOR210W","S. cerevisiae","RPB10","RNA Polymerase B"
"S000005743","YOR217W","S. cerevisiae","RFC1","Replication Factor C"
"S000005744","YOR218C","S. cerevisiae","",""
"S000005750","YOR224C","S. cerevisiae","RPB8","RNA Polymerase B"
"S000005755","YOR229W","S. cerevisiae","WTM2","WD repeat containing Transcriptional Modulator"
"S000005758","YOR232W","S. cerevisiae","MGE1","Mitochondrial GrpE"
"S000005759","YOR233W","S. cerevisiae","KIN4","KINase"
"S000005762","YOR236W","S. cerevisiae","DFR1","DihydroFolate Reductase"
"S000005770","YOR244W","S. cerevisiae","ESA1",""
"S000005775","YOR249C","S. cerevisiae","APC5","Anaphase Promoting Complex"
"S000005776","YOR250C","S. cerevisiae","CLP1","CLeavage/Polyadenylation factor Ia subunit"
"S000005780","YOR254C","S. cerevisiae","SEC63","SECretory"
"S000005782","YOR256C","S. cerevisiae","TRE2","Transferrrin REceptor like"
"S000005783","YOR257W","S. cerevisiae","CDC31","Cell Division Cycle"
"S000005785","YOR259C","S. cerevisiae","RPT4","Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
"S000005786","YOR260W","S. cerevisiae","GCD1","General Control Derepressed"
"S000005787","YOR261C","S. cerevisiae","RPN8","Regulatory Particle Non-ATPase"
"S000005788","YOR262W","S. cerevisiae","GPN2","Gly-Pro-Asn (N) motif"
"S000005797","YOR271C","S. cerevisiae","FSF1","Fungal SideroFlexin 1"
"S000005798","YOR272W","S. cerevisiae","YTM1",""
"S000005804","YOR278W","S. cerevisiae","HEM4","HEMe biosynthesis"
"S000005807","YOR281C","S. cerevisiae","PLP2","Phosducin-Like Protein"
"S000005808","YOR282W","S. cerevisiae","",""
"S000005813","YOR287C","S. cerevisiae","RRP36","Ribosomal RNA Processing"
"S000005819","YOR293W","S. cerevisiae","RPS10A","Ribosomal Protein of the Small subunit"
"S000005820","YOR294W","S. cerevisiae","RRS1","Regulator of Ribosome Synthesis"
"S000005821","YOR295W","S. cerevisiae","UAF30","Upstream Activation Factor subunit"
"S000005823","YOR297C","S. cerevisiae","TIM18","Translocase of the Inner Mitochondrial membrane"
"S000005837","YOR310C","S. cerevisiae","NOP58","NucleOlar Protein of 58 kDa"
"S000005846","YOR319W","S. cerevisiae","HSH49","Human Sap Homolog"
"S000005853","YOR326W","S. cerevisiae","MYO2","MYOsin"
"S000005856","YOR329C","S. cerevisiae","SCD5","Suppressor of Clathrin Deficiency"
"S000005862","YOR335C","S. cerevisiae","ALA1","ALAnyl-tRNA synthetase"
"S000005863","YOR336W","S. cerevisiae","KRE5","Killer toxin REsistant"
"S000005867","YOR340C","S. cerevisiae","RPA43","RNA Polymerase A"
"S000005868","YOR341W","S. cerevisiae","RPA190","RNA Polymerase A"
"S000005880","YOR353C","S. cerevisiae","SOG2",""
"S000005888","YOR361C","S. cerevisiae","PRT1","PRoTein synthesis"
"S000005889","YOR362C","S. cerevisiae","PRE10","PRoteinase yscE"
"S000005897","YOR370C","S. cerevisiae","MRS6","Mitochondrial RNA Splicing"
"S000005899","YOR372C","S. cerevisiae","NDD1","Nuclear Division Defective"
"S000005900","YOR373W","S. cerevisiae","NUD1",""
"S000005928","YPL007C","S. cerevisiae","TFC8","Transcription Factor C"
"S000005931","YPL010W","S. cerevisiae","RET3","RETrieval from ER"
"S000005932","YPL011C","S. cerevisiae","TAF3","TATA binding protein-Associated Factor"
"S000005933","YPL012W","S. cerevisiae","RRP12","Ribosomal RNA Processing"
"S000005937","YPL016W","S. cerevisiae","SWI1","SWItching deficient"
"S000005941","YPL020C","S. cerevisiae","ULP1","UbL-specific Protease"
"S000005949","YPL028W","S. cerevisiae","ERG10","ERGosterol biosynthesis"
"S000005964","YPL043W","S. cerevisiae","NOP4","NucleOlar Protein"
"S000005965","YPL044C","S. cerevisiae","",""
"S000005966","YPL045W","S. cerevisiae","VPS16","Vacuolar Protein Sorting"
"S000005984","YPL063W","S. cerevisiae","TIM50","Translocase of the Inner Mitochondrial membrane"
"S000005996","YPL075W","S. cerevisiae","GCR1","GlyColysis Regulation"
"S000005997","YPL076W","S. cerevisiae","GPI2","GlycosylPhosphatidylInositol anchor biosynthesis"
"S000006003","YPL082C","S. cerevisiae","MOT1","Modifier of Transcription"
"S000006004","YPL083C","S. cerevisiae","SEN54","Splicing ENdonuclease"
"S000006006","YPL085W","S. cerevisiae","SEC16","SECretory"
"S000006014","YPL093W","S. cerevisiae","NOG1","NucleOlar G-protein"
"S000006015","YPL094C","S. cerevisiae","SEC62","SECretory"
"S000006026","YPL105C","S. cerevisiae","SYH1","SmY2 Homolog"
"S000006036","YPL115C","S. cerevisiae","BEM3","Bud EMergence"
"S000006038","YPL117C","S. cerevisiae","IDI1","Isopentenyl Diphosphate Isomerase"
"S000006043","YPL122C","S. cerevisiae","TFB2","Transcription Factor B subunit 2"
"S000006045","YPL124W","S. cerevisiae","SPC29","Spindle Pole Component"
"S000006046","YPL125W","S. cerevisiae","KAP120","KAryoPherin"
"S000006047","YPL126W","S. cerevisiae","NAN1","Net1 Associated Nuclear protein"
"S000006049","YPL128C","S. cerevisiae","TBF1","TTAGGG repeat-Binding Factor"
"S000006052","YPL131W","S. cerevisiae","RPL5","Ribosomal Protein of the Large subunit"
"S000006058","YPL137C","S. cerevisiae","GIP3","Glc7 Interacting Protein"
"S000006063","YPL142C","S. cerevisiae","",""
"S000006064","YPL143W","S. cerevisiae","RPL33A","Ribosomal Protein of the Large subunit"
"S000006067","YPL146C","S. cerevisiae","NOP53","NucleOlar Protein"
"S000006072","YPL151C","S. cerevisiae","PRP46","Pre-mRNA Processing"
"S000006074","YPL153C","S. cerevisiae","RAD53","RADiation sensitive"
"S000006081","YPL160W","S. cerevisiae","CDC60","Cell Division Cycle"
"S000006090","YPL169C","S. cerevisiae","MEX67","Messenger RNA EXport factor of 67 kDa"
"S000006096","YPL175W","S. cerevisiae","SPT14","SuPpressor of Ty"
"S000006111","YPL190C","S. cerevisiae","NAB3","Nuclear polyAdenylated RNA-Binding"
"S000006124","YPL203W","S. cerevisiae","TPK2","Takashi's Protein Kinase"
"S000006125","YPL204W","S. cerevisiae","HRR25","HO and Radiation Repair"
"S000006128","YPL207W","S. cerevisiae","TYW1","Trna-YW synthesizing protein"
"S000006130","YPL209C","S. cerevisiae","IPL1","Increase in PLoidy"
"S000006131","YPL210C","S. cerevisiae","SRP72","Signal Recognition Particle"
"S000006132","YPL211W","S. cerevisiae","NIP7","Nuclear ImPort"
"S000006134","YPL213W","S. cerevisiae","LEA1","Looks Exceptionally like U2A"
"S000006138","YPL217C","S. cerevisiae","BMS1","BMh Sensitive"
"S000006139","YPL218W","S. cerevisiae","SAR1","Secretion-Associated, Ras-related"
"S000006149","YPL228W","S. cerevisiae","CET1","Capping Enzyme Triphosphatase"
"S000006152","YPL231W","S. cerevisiae","FAS2","Fatty Acid Synthetase"
"S000006154","YPL233W","S. cerevisiae","NSL1","Nnf1 Synthetic Lethal"
"S000006156","YPL235W","S. cerevisiae","RVB2","RuVB-like"
"S000006158","YPL237W","S. cerevisiae","SUI3","SUppressor of Initiator codon"
"S000006159","YPL238C","S. cerevisiae","",""
"S000006163","YPL242C","S. cerevisiae","IQG1","IQGAP-related protein"
"S000006164","YPL243W","S. cerevisiae","SRP68","Signal Recognition Particle"
"S000006172","YPL251W","S. cerevisiae","",""
"S000006173","YPL252C","S. cerevisiae","YAH1","Yeast Adrenodoxin Homolog"
"S000006176","YPL255W","S. cerevisiae","BBP1","Bfr1 Binding Protein"
"S000006187","YPL266W","S. cerevisiae","DIM1","DIMethylase"
"S000006189","YPL268W","S. cerevisiae","PLC1","PhosphoLipase C"
"S000006214","YPR010C","S. cerevisiae","RPA135","RNA Polymerase A"
"S000006219","YPR015C","S. cerevisiae","",""
"S000006220","YPR016C","S. cerevisiae","TIF6","Translation Initiation Factor"
"S000006223","YPR019W","S. cerevisiae","MCM4","MiniChromosome Maintenance"
"S000006229","YPR025C","S. cerevisiae","CCL1",""
"S000006237","YPR033C","S. cerevisiae","HTS1","Histidine-Trna Synthetase"
"S000006238","YPR034W","S. cerevisiae","ARP7","Actin-Related Protein"
"S000006239","YPR035W","S. cerevisiae","GLN1","GLutamiNe metabolism"
"S000006244","YPR040W","S. cerevisiae","TIP41","Tap42 Interacting Protein"
"S000006245","YPR041W","S. cerevisiae","TIF5","Translation Initiation Factor"
"S000006252","YPR048W","S. cerevisiae","TAH18","Top1T722A mutant Hypersensitive"
"S000006259","YPR055W","S. cerevisiae","SEC8","SECretory"
"S000006260","YPR056W","S. cerevisiae","TFB4","Transcription Factor B subunit 4"
"S000006286","YPR082C","S. cerevisiae","DIB1","S. pombe DIm1+ in Budding yeast"
"S000006289","YPR085C","S. cerevisiae","ASA1","AStra Associated protein"
"S000006290","YPR086W","S. cerevisiae","SUA7","Suppressor of Upstream AUG"
"S000006292","YPR088C","S. cerevisiae","SRP54","Signal Recognition Particle 54-kD subunit"
"S000006298","YPR094W","S. cerevisiae","RDS3","Regulator of Drug Sensitivity"
"S000006305","YPR101W","S. cerevisiae","SNT309","Synthetic lethal to prp NineTeen mutation"
"S000006307","YPR103W","S. cerevisiae","PRE2","PRoteinase yscE"
"S000006308","YPR104C","S. cerevisiae","FHL1","Fork Head-Like"
"S000006309","YPR105C","S. cerevisiae","COG4","Conserved Oligomeric Golgi complex"
"S000006311","YPR107C","S. cerevisiae","YTH1","Yeast THirty kDa Homolog"
"S000006312","YPR108W","S. cerevisiae","RPN7","Regulatory Particle Non-ATPase"
"S000006314","YPR110C","S. cerevisiae","RPC40","RNA Polymerase C"
"S000006315","YPR111W","S. cerevisiae","DBF20","DumbBell Forming"
"S000006316","YPR112C","S. cerevisiae","MRD1","Multiple RNA-binding domain"
"S000006317","YPR113W","S. cerevisiae","PIS1","Phosphatidyl Inositol Synthase"
"S000006324","YPR120C","S. cerevisiae","CLB5","CycLin B"
"S000006328","YPR124W","S. cerevisiae","CTR1","Copper TRansport"
"S000006329","YPR125W","S. cerevisiae","YLH47","Yeast LETM1 Homolog of 47 kD"
"S000006337","YPR133C","S. cerevisiae","SPN1","Suppresses Postrecruitment functions gene Number 1"
"S000006340","YPR136C","S. cerevisiae","",""
"S000006341","YPR137W","S. cerevisiae","RRP9","Ribosomal RNA Processing"
"S000006346","YPR142C","S. cerevisiae","",""
"S000006347","YPR143W","S. cerevisiae","RRP15","Ribosomal RNA Processing"
"S000006348","YPR144C","S. cerevisiae","NOC4","NucleOlar Complex associated"
"S000006365","YPR161C","S. cerevisiae","SGV1","Suppressor of Gpa1-Val50 mutation"
"S000006366","YPR162C","S. cerevisiae","ORC4","Origin Recognition Complex"
"S000006369","YPR165W","S. cerevisiae","RHO1","Ras HOmolog"
"S000006372","YPR168W","S. cerevisiae","NUT2","Negative regulation of URS Two"
"S000006373","YPR169W","S. cerevisiae","JIP5","Jumonji domain Interacting Protein"
"S000006379","YPR175W","S. cerevisiae","DPB2","DNA Polymerase B subunit 2"
"S000006380","YPR176C","S. cerevisiae","BET2","Blocked Early in Transport"
"S000006381","YPR177C","S. cerevisiae","",""
"S000006382","YPR178W","S. cerevisiae","PRP4","Pre-mRNA Processing"
"S000006384","YPR180W","S. cerevisiae","AOS1","Activation Of Smt3p"
"S000006385","YPR181C","S. cerevisiae","SEC23","SECretory"
"S000006386","YPR182W","S. cerevisiae","SMX3",""
"S000006387","YPR183W","S. cerevisiae","DPM1","Dolichol Phosphate Mannose synthase"
"S000006390","YPR186C","S. cerevisiae","PZF1","Putative Zinc Finger"
"S000006391","YPR187W","S. cerevisiae","RPO26","RNA POlymerase"
"S000006394","YPR190C","S. cerevisiae","RPC82","RNA Polymerase C"
"S000006434","YLR438C-A","S. cerevisiae","LSM3","Like SM"
"S000006484","RDN25-1","S. cerevisiae","RDN25-1",""
"S000006485","RDN25-2","S. cerevisiae","RDN25-2",""
"S000006499","snR14","S. cerevisiae","SNR14","Small Nuclear RNA"
"S000006508","snR128","S. cerevisiae","SNR128","Small Nucleolar RNA"
"S000006706","tR(CCG)L","S. cerevisiae","TRR4","TRna aRg 4"
"S000006730","tS(CGA)C","S. cerevisiae","SUP61","SUPpressor"
"S000006748","tT(CGU)K","S. cerevisiae","TRT2","TRna thR 2"
"S000007237","YER048W-A","S. cerevisiae","ISD11","Iron-Sulfur protein biogenesis, Desulfurase-interacting protein"
"S000007256","YEL020W-A","S. cerevisiae","TIM9","Translocase of the Inner Mitochondrial membrane"
"S000007436","NME1","S. cerevisiae","NME1","Nuclear Mitochondrial processing Endoribonuclease"
"S000007455","YHR072W-A","S. cerevisiae","NOP10","NucleOlar Protein"
"S000007497","snR30","S. cerevisiae","SNR30","Small Nucleolar RNA"
"S000007595","YBR233W-A","S. cerevisiae","DAD3","Duo1 And Dam1 interacting"
"S000007604","YDR320C-A","S. cerevisiae","DAD4","Duo1 And Dam1 interacting"
"S000007618","YLR099W-A","S. cerevisiae","MIM2",""
"S000007651","YER074W-A","S. cerevisiae","YOS1","Yip One Suppressor"
"S000028421","YKL138C-A","S. cerevisiae","HSK3","Helper of ASK1"
"S000028509","YNL138W-A","S. cerevisiae","YSF3","Yeast Splicing Factor 3b subunit"
"S000028698","YNL024C-A","S. cerevisiae","KSH1","KSH (similar to the Hungarian word for ""small"")"
"S000029704","YHR199C-A","S. cerevisiae","NBL1","N-terminal-Borealin Like protein"
